Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,14.90,70.30,14.80,106.0,9.0,20.0,21.0,40.0,
080193,Barcelona,12.45,66.60,20.95,179.0,12.0,17.0,31.0,48.0,
080569,Castelldefels,17.36,72.42,10.23,62.0,10.0,22.0,14.0,36.0,
082665,Cerdanyola del Vallès,16.20,72.40,11.40,75.0,10.0,21.0,16.0,36.0,
080734,Cornellà de Llobregat,14.27,68.80,16.92,126.0,9.0,19.0,24.0,44.0,
080771,Esplugues de Llobregat,13.48,71.38,15.13,120.0,9.0,17.0,21.0,38.0,
170792,Girona,17.45,68.13,14.42,88.0,12.0,24.0,21.0,45.0,
080961,Granollers,16.27,69.39,14.35,94.0,10.0,22.0,20.0,42.0,
081017,"Hospitalet de Llobregat, l'",12.74,69.33,17.93,150.0,8.0,17.0,26.0,43.0,
251207,Lleida,15.98,67.39,16.63,111.0,11.0,22.0,24.0,46.0,
081136,Manresa,14.19,64.85,20.96,157.0,11.0,20.0,32.0,52.0,
081213,Mataró,15.79,69.44,14.77,100.0,10.0,21.0,21.0,42.0,
081249,Mollet del Vallès,17.03,71.66,11.30,70.0,9.0,22.0,16.0,38.0,
081691,"Prat de Llobregat, el",15.20,71.35,13.46,95.0,9.0,20.0,19.0,38.0,
431233,Reus,16.91,67.38,15.71,99.0,11.0,23.0,23.0,46.0,
081846,Rubí,16.76,71.19,12.05,77.0,10.0,22.0,17.0,38.0,
081878,Sabadell,15.54,67.40,17.06,117.0,10.0,21.0,25.0,46.0,
082009,Sant Boi de Llobregat,15.40,70.69,13.91,96.0,9.0,20.0,19.0,40.0,
082055,Sant Cugat del Vallès,22.02,67.94,10.04,48.0,12.0,30.0,15.0,45.0,
082457,Santa Coloma de Gramenet,13.51,70.98,15.51,123.0,9.0,18.0,22.0,39.0,
431482,Tarragona,15.97,68.30,15.73,105.0,10.0,22.0,23.0,44.0,
082798,Terrassa,16.27,68.03,15.70,103.0,10.0,22.0,23.0,45.0,
083015,Viladecans,16.87,72.12,11.00,69.0,8.0,22.0,15.0,37.0,
083073,Vilanova i la Geltrú,15.81,67.92,16.27,109.0,9.0,22.0,24.0,45.0,
,Catalunya,15.04,67.96,17.01,120.5,10.8,20.5,24.7,45.2,

