Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,17.22,65.38,17.39,107.0,12.9,24.5,26.2,50.7,
080193,Barcelona,13.57,64.79,21.63,168.8,17.4,19.6,33.0,52.6,
080569,Castelldefels,18.51,67.99,13.50,76.9,11.9,25.5,19.6,45.0,
082665,Cerdanyola del Vallès,16.49,67.29,16.22,105.2,11.7,22.6,23.7,46.3,
080734,Cornellà de Llobregat,16.48,63.85,19.67,126.8,11.6,23.9,30.3,54.3,
080771,Esplugues de Llobregat,14.62,64.31,21.06,153.5,11.7,21.0,32.3,53.3,
170792,Girona,18.50,66.77,14.74,84.5,17.1,25.7,21.7,47.5,
080961,Granollers,17.04,66.43,16.54,102.7,15.4,23.9,24.6,48.5,
081017,"Hospitalet de Llobregat, l'",15.20,64.25,20.56,143.4,12.5,22.0,31.6,53.6,
251207,Lleida,16.96,66.40,16.64,103.8,16.5,23.8,24.7,48.5,
081136,Manresa,17.06,63.13,19.81,122.2,17.8,25.3,31.0,56.3,
081213,Mataró,17.81,65.69,16.50,97.4,14.7,25.4,24.8,50.2,
081249,Mollet del Vallès,18.80,66.41,14.79,83.2,11.6,26.4,21.9,48.3,
081691,"Prat de Llobregat, el",16.79,65.82,17.39,109.2,11.4,23.9,26.1,50.0,
431233,Reus,19.26,64.91,15.84,86.8,15.2,27.7,24.0,51.7,
081846,Rubí,18.79,67.27,13.95,78.4,12.5,26.1,20.4,46.5,
081878,Sabadell,17.43,64.53,18.04,109.6,15.0,25.1,27.5,52.7,
082009,Sant Boi de Llobregat,16.88,65.64,17.48,109.1,11.8,24.1,26.3,50.4,
082055,Sant Cugat del Vallès,21.77,65.99,12.25,59.7,15.1,30.5,18.2,48.7,
082457,Santa Coloma de Gramenet,16.85,63.83,19.32,120.8,10.5,24.7,29.9,54.6,
431482,Tarragona,17.38,65.86,16.76,101.7,14.7,24.7,25.1,49.8,
082798,Terrassa,18.80,65.29,15.91,89.0,15.0,27.0,24.0,51.0,
083015,Viladecans,19.29,66.24,14.47,78.7,10.5,27.4,21.5,48.9,
083073,Vilanova i la Geltrú,16.84,65.76,17.39,109.1,13.7,23.9,26.1,50.0,
,Catalunya,16.86,65.19,17.95,112.6,15.3,24.1,27.1,51.3,

