Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,17.25,64.51,18.23,112.2,13.6,24.8,27.8,52.7,
080193,Barcelona,13.77,64.47,21.75,167.8,18.3,19.9,33.3,53.2,
080569,Castelldefels,18.53,67.30,14.16,81.1,12.7,25.5,20.7,46.3,
082665,Cerdanyola del Vallès,16.09,66.46,17.46,116.0,11.8,22.3,25.9,48.2,
080734,Cornellà de Llobregat,16.46,63.30,20.24,130.4,12.7,24.2,31.5,55.7,
080771,Esplugues de Llobregat,14.78,63.07,22.15,159.4,12.5,21.7,34.6,56.4,
170792,Girona,18.71,66.04,15.25,86.6,17.2,26.2,22.7,48.9,
080961,Granollers,17.12,65.82,17.05,105.7,15.6,24.1,25.5,49.6,
081017,"Hospitalet de Llobregat, l'",15.52,63.75,20.73,141.8,13.1,22.6,32.1,54.7,
251207,Lleida,17.00,65.70,17.29,108.1,17.4,24.0,25.9,49.9,
081136,Manresa,17.37,62.62,20.01,122.0,18.5,25.8,31.5,57.3,
081213,Mataró,17.97,64.95,17.08,100.6,15.4,25.7,25.9,51.6,
081249,Mollet del Vallès,18.56,65.90,15.54,89.5,12.5,25.9,23.2,49.0,
081691,"Prat de Llobregat, el",16.86,64.96,18.17,114.1,11.8,24.2,27.6,51.8,
431233,Reus,19.35,64.00,16.65,91.3,15.7,28.0,25.6,53.6,
081846,Rubí,18.70,66.53,14.77,83.7,12.9,26.1,21.8,47.9,
081878,Sabadell,17.53,64.07,18.40,111.3,15.6,25.4,28.3,53.7,
082009,Sant Boi de Llobregat,17.13,64.63,18.24,113.3,12.4,24.5,27.8,52.3,
082055,Sant Cugat del Vallès,21.50,65.51,12.99,64.4,15.5,30.2,19.4,49.6,
082457,Santa Coloma de Gramenet,17.05,62.99,19.96,123.7,11.1,25.2,31.2,56.5,
431482,Tarragona,17.28,65.29,17.43,107.2,15.3,24.5,26.3,50.8,
082798,Terrassa,18.86,64.76,16.38,91.8,15.7,27.1,24.9,52.0,
083015,Viladecans,19.33,65.36,15.31,84.0,10.8,27.4,23.0,50.5,
083073,Vilanova i la Geltrú,16.66,65.16,18.17,116.6,14.5,23.5,27.4,51.0,
,Catalunya,16.90,64.63,18.47,116.0,16.1,24.3,28.1,52.4,

