Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,14.90,70.28,14.81,107.0,9.0,19.0,21.0,40.0
080193,Barcelona,12.38,66.43,21.20,183.0,11.0,17.0,32.0,49.0
080569,Castelldefels,17.31,72.48,10.21,62.0,9.0,22.0,14.0,36.0
082665,Cerdanyola del Vallès,16.17,72.65,11.18,74.0,9.0,20.0,15.0,36.0
080734,Cornellà de Llobregat,13.94,69.29,16.77,128.0,9.0,19.0,24.0,43.0
080771,Esplugues de Llobregat,13.49,71.72,14.79,119.0,9.0,17.0,20.0,37.0
170792,Girona,17.32,67.79,14.89,91.0,12.0,24.0,22.0,45.0
080961,Granollers,16.09,69.54,14.38,95.0,10.0,21.0,20.0,42.0
081017,"Hospitalet de Llobregat, l'",12.48,69.49,18.03,155.0,8.0,16.0,26.0,42.0
251207,Lleida,15.78,67.29,16.94,114.0,10.0,22.0,25.0,46.0
081136,Manresa,13.77,64.74,21.49,166.0,11.0,20.0,33.0,52.0
081213,Mataró,15.76,69.27,14.97,102.0,10.0,21.0,21.0,42.0
081249,Mollet del Vallès,17.01,71.77,11.22,71.0,10.0,22.0,15.0,37.0
081691,"Prat de Llobregat, el",15.29,71.45,13.27,94.0,9.0,20.0,18.0,38.0
431233,Reus,16.73,67.31,15.96,102.0,10.0,23.0,23.0,46.0
081846,Rubí,16.67,71.18,12.15,78.0,10.0,22.0,17.0,38.0
081878,Sabadell,15.39,67.39,17.23,120.0,10.0,21.0,25.0,46.0
082009,Sant Boi de Llobregat,15.44,70.81,13.75,96.0,9.0,20.0,19.0,39.0
082055,Sant Cugat del Vallès,21.63,68.22,10.15,49.0,12.0,30.0,15.0,44.0
082457,Santa Coloma de Gramenet,13.24,71.41,15.35,124.0,9.0,17.0,21.0,38.0
431482,Tarragona,15.96,68.25,15.79,106.0,10.0,21.0,23.0,44.0
082798,Terrassa,16.16,67.86,15.98,105.0,10.0,22.0,23.0,45.0
083015,Viladecans,16.95,72.26,10.79,68.0,8.0,22.0,15.0,36.0
083073,Vilanova i la Geltrú,15.55,67.86,16.59,114.0,9.0,21.0,24.0,45.0
,Catalunya,14.89,67.85,17.26,123.7,10.6,20.3,25.1,45.4

