Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,15.67,69.32,15.01,102.0,11.0,21.0,21.0,42.0,
080193,Barcelona,12.65,66.98,20.37,171.0,14.0,18.0,30.0,48.0,
080569,Castelldefels,17.79,71.61,10.60,63.0,10.0,23.0,15.0,38.0,
082665,Cerdanyola del Vallès,16.31,71.26,12.44,81.0,11.0,21.0,17.0,38.0,
080734,Cornellà de Llobregat,15.21,67.44,17.35,121.0,10.0,21.0,25.0,46.0,
080771,Esplugues de Llobregat,14.14,69.24,16.62,125.0,10.0,19.0,24.0,43.0,
170792,Girona,17.41,69.44,13.15,80.0,15.0,23.0,19.0,42.0,
080961,Granollers,16.39,69.60,14.01,91.0,12.0,22.0,20.0,42.0,
081017,"Hospitalet de Llobregat, l'",13.69,68.26,18.05,140.0,10.0,19.0,26.0,45.0,
251207,Lleida,16.28,68.44,15.28,100.0,13.0,22.0,22.0,44.0,
081136,Manresa,15.41,65.90,18.68,129.0,14.0,22.0,28.0,50.0,
081213,Mataró,16.16,69.17,14.67,97.0,12.0,22.0,21.0,43.0,
081249,Mollet del Vallès,17.59,70.42,11.99,72.0,10.0,23.0,17.0,40.0,
081691,"Prat de Llobregat, el",15.43,70.21,14.36,99.0,10.0,20.0,20.0,41.0,
431233,Reus,17.75,68.10,14.15,85.0,13.0,24.0,20.0,45.0,
081846,Rubí,17.46,70.64,11.90,72.0,11.0,23.0,17.0,40.0,
081878,Sabadell,16.16,67.39,16.44,108.0,12.0,22.0,24.0,46.0,
082009,Sant Boi de Llobregat,15.88,69.29,14.83,99.0,10.0,21.0,21.0,42.0,
082055,Sant Cugat del Vallès,22.77,67.07,10.16,47.0,13.0,32.0,15.0,47.0,
082457,Santa Coloma de Gramenet,14.75,69.28,15.96,115.0,9.0,20.0,23.0,42.0,
431482,Tarragona,16.80,68.51,14.68,93.0,12.0,23.0,21.0,44.0,
082798,Terrassa,17.27,68.06,14.67,90.0,12.0,24.0,21.0,45.0,
083015,Viladecans,17.83,70.04,12.12,72.0,9.0,24.0,17.0,41.0,
083073,Vilanova i la Geltrú,16.32,68.02,15.66,102.0,11.0,22.0,23.0,45.0,
,Catalunya,15.74,68.01,16.25,109.5,12.7,21.5,23.6,45.1,

