Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,17.27,64.74,17.99,110.4,13.3,24.8,27.4,52.2,
080193,Barcelona,13.69,64.52,21.79,168.9,17.8,19.8,33.4,53.1,
080569,Castelldefels,18.55,67.57,13.88,79.0,12.3,25.6,20.2,45.9,
082665,Cerdanyola del Vallès,16.26,66.84,16.89,110.7,11.3,22.5,24.9,47.4,
080734,Cornellà de Llobregat,16.56,63.43,20.01,128.5,12.2,24.2,31.1,55.2,
080771,Esplugues de Llobregat,14.67,63.50,21.83,158.9,11.8,21.3,33.9,55.2,
170792,Girona,18.66,66.32,15.02,85.1,17.3,26.2,22.3,48.5,
080961,Granollers,17.04,66.14,16.83,105.0,15.6,23.9,25.1,48.9,
081017,"Hospitalet de Llobregat, l'",15.35,63.78,20.87,144.2,12.8,22.4,32.3,54.7,
251207,Lleida,17.05,66.03,16.92,105.2,16.9,24.0,25.3,49.3,
081136,Manresa,17.33,62.67,19.99,122.2,18.2,25.7,31.4,57.1,
081213,Mataró,17.97,65.19,16.84,98.8,14.9,25.8,25.5,51.2,
081249,Mollet del Vallès,18.74,66.08,15.18,86.0,11.9,26.3,22.6,48.9,
081691,"Prat de Llobregat, el",16.85,65.31,17.84,112.1,11.4,24.0,26.9,50.9,
431233,Reus,19.32,64.32,16.37,89.4,15.6,28.0,25.1,53.1,
081846,Rubí,18.69,66.87,14.44,81.7,12.6,26.0,21.3,47.3,
081878,Sabadell,17.44,64.23,18.33,111.0,15.3,25.3,28.1,53.5,
082009,Sant Boi de Llobregat,17.11,64.91,17.98,111.4,12.0,24.5,27.3,51.8,
082055,Sant Cugat del Vallès,21.67,65.69,12.64,62.1,15.4,30.4,18.9,49.2,
082457,Santa Coloma de Gramenet,17.03,63.08,19.89,123.4,10.8,25.2,31.1,56.3,
431482,Tarragona,17.39,65.45,17.16,104.5,14.9,24.7,25.8,50.6,
082798,Terrassa,18.87,64.94,16.19,90.4,15.4,27.2,24.6,51.7,
083015,Viladecans,19.39,65.64,14.97,81.2,10.9,27.7,22.5,50.2,
083073,Vilanova i la Geltrú,16.78,65.31,17.91,113.7,13.6,23.7,27.0,50.7,
,Catalunya,16.91,64.80,18.29,114.6,15.7,24.3,27.8,52.1,

