Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,17.18,64.00,18.82,116.3,14.1,24.9,29.0,53.9
080193,Barcelona,13.89,64.61,21.50,164.5,19.2,20.0,32.9,52.8
080569,Castelldefels,18.14,67.15,14.71,86.6,13.2,24.9,21.5,46.4
082665,Cerdanyola del Vallès,15.68,65.64,18.69,128.3,12.0,21.8,28.0,49.8
080734,Cornellà de Llobregat,16.30,63.35,20.34,133.3,14.2,23.7,31.6,55.3
080771,Esplugues de Llobregat,14.97,62.19,22.84,162.9,13.4,22.2,36.2,58.4
170792,Girona,18.57,65.67,15.76,90.2,17.5,26.2,23.6,49.8
080961,Granollers,17.06,65.31,17.64,110.1,15.7,24.1,26.6,50.7
081017,"Hospitalet de Llobregat, l'",15.59,63.97,20.44,139.1,14.4,22.6,31.5,54.2
251207,Lleida,16.97,65.16,17.87,111.5,17.7,24.2,27.0,51.3
081136,Manresa,17.45,62.36,20.20,123.1,19.3,25.9,31.9,57.8
081213,Mataró,17.95,64.49,17.55,103.5,15.7,25.9,26.8,52.7
081249,Mollet del Vallès,17.73,65.77,16.50,99.4,13.0,24.8,24.7,49.5
081691,"Prat de Llobregat, el",16.71,64.49,18.80,119.7,12.4,24.0,28.7,52.7
431233,Reus,19.27,63.36,17.37,95.8,16.0,28.1,26.9,55.0
081846,Rubí,18.47,66.11,15.42,88.7,13.1,25.9,23.0,48.8
081878,Sabadell,17.48,63.92,18.60,113.0,16.5,25.3,28.6,54.0
082009,Sant Boi de Llobregat,16.88,64.20,18.92,119.7,13.0,24.2,29.0,53.2
082055,Sant Cugat del Vallès,20.99,65.30,13.71,70.0,15.6,29.4,20.6,49.9
082457,Santa Coloma de Gramenet,17.10,62.82,20.07,124.4,11.8,25.3,31.5,56.8
431482,Tarragona,16.98,65.06,17.95,112.6,15.6,24.1,27.2,51.3
082798,Terrassa,18.70,64.66,16.63,94.2,16.2,26.9,25.3,52.2
083015,Viladecans,18.82,65.12,16.06,90.8,11.6,26.7,24.2,51.0
083073,Vilanova i la Geltrú,16.38,64.96,18.66,121.9,14.8,23.2,28.3,51.4
,Catalunya,16.75,64.46,18.79,119.3,16.7,24.0,28.7,52.7

