Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,16.06,68.85,15.09,100.0,11.0,22.0,22.0,43.0,
080193,Barcelona,12.78,66.85,20.37,169.0,15.0,18.0,30.0,48.0,
080569,Castelldefels,17.83,71.24,10.93,64.0,11.0,24.0,15.0,39.0,
082665,Cerdanyola del Vallès,16.29,70.89,12.82,83.0,11.0,21.0,18.0,39.0,
080734,Cornellà de Llobregat,15.59,67.02,17.39,118.0,10.0,22.0,26.0,47.0,
080771,Esplugues de Llobregat,14.51,68.42,17.07,125.0,10.0,20.0,25.0,44.0,
170792,Girona,17.57,69.27,13.16,79.0,15.0,24.0,19.0,42.0,
080961,Granollers,16.40,69.40,14.19,92.0,12.0,22.0,20.0,42.0,
081017,"Hospitalet de Llobregat, l'",14.00,67.72,18.29,139.0,10.0,19.0,27.0,46.0,
251207,Lleida,16.43,68.41,15.16,98.0,13.0,22.0,22.0,44.0,
081136,Manresa,15.83,65.62,18.55,124.0,15.0,23.0,28.0,50.0,
081213,Mataró,16.59,68.69,14.72,94.0,12.0,23.0,21.0,44.0,
081249,Mollet del Vallès,17.70,70.04,12.26,73.0,11.0,24.0,17.0,41.0,
081691,"Prat de Llobregat, el",15.58,69.69,14.73,100.0,11.0,21.0,21.0,42.0,
431233,Reus,18.14,67.59,14.28,84.0,13.0,25.0,21.0,46.0,
081846,Rubí,17.76,70.12,12.12,72.0,11.0,24.0,17.0,41.0,
081878,Sabadell,16.45,67.00,16.55,107.0,13.0,23.0,24.0,47.0,
082009,Sant Boi de Llobregat,16.07,68.89,15.04,99.0,11.0,22.0,22.0,43.0,
082055,Sant Cugat del Vallès,22.78,66.97,10.24,47.0,13.0,32.0,15.0,47.0,
082457,Santa Coloma de Gramenet,15.20,68.35,16.45,115.0,9.0,21.0,24.0,45.0,
431482,Tarragona,17.07,68.22,14.71,91.0,12.0,23.0,21.0,45.0,
082798,Terrassa,17.73,67.67,14.60,87.0,13.0,25.0,21.0,46.0,
083015,Viladecans,18.13,69.41,12.46,73.0,10.0,24.0,18.0,42.0,
083073,Vilanova i la Geltrú,16.38,67.84,15.78,102.0,11.0,23.0,23.0,46.0,
,Catalunya,15.99,67.71,16.30,107.8,13.1,22.0,23.8,45.8,

