Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,16.90,63.96,19.14,121.4,14.1,24.2,29.4,53.6,
080193,Barcelona,13.64,65.21,21.16,165.5,19.9,19.4,32.0,51.4,
080569,Castelldefels,17.53,67.28,15.19,92.9,13.4,23.9,22.2,46.1,
082665,Cerdanyola del Vallès,14.76,65.49,19.75,145.2,12.1,20.4,29.6,50.0,
080734,Cornellà de Llobregat,15.79,64.15,20.07,136.0,15.7,22.6,30.8,53.4,
080771,Esplugues de Llobregat,14.80,61.97,23.23,168.3,14.4,21.9,36.9,58.8,
170792,Girona,17.96,65.93,16.12,96.3,17.4,24.9,24.0,48.9,
080961,Granollers,16.66,65.44,17.90,114.6,15.9,23.5,26.9,50.4,
081017,"Hospitalet de Llobregat, l'",15.50,64.56,19.95,137.0,15.6,22.2,30.5,52.7,
251207,Lleida,16.74,65.07,18.20,116.0,18.2,23.7,27.5,51.3,
081136,Manresa,17.47,62.55,19.99,121.9,19.9,25.8,31.4,57.2,
081213,Mataró,17.50,64.64,17.86,109.0,15.7,24.9,27.2,52.1,
081249,Mollet del Vallès,16.74,65.88,17.39,112.4,13.9,23.0,25.9,48.9,
081691,"Prat de Llobregat, el",16.36,64.18,19.47,127.0,13.1,23.5,29.9,53.4,
431233,Reus,18.99,63.21,17.80,100.3,15.9,27.5,27.6,55.2,
081846,Rubí,17.97,66.20,15.83,94.1,13.4,25.0,23.5,48.5,
081878,Sabadell,17.13,64.22,18.65,116.5,17.2,24.5,28.5,53.1,
082009,Sant Boi de Llobregat,16.43,64.35,19.22,125.5,13.5,23.4,29.4,52.8,
082055,Sant Cugat del Vallès,20.35,65.29,14.36,75.8,15.6,28.4,21.5,49.9,
082457,Santa Coloma de Gramenet,16.94,63.19,19.86,124.9,12.7,24.8,30.9,55.7,
431482,Tarragona,16.53,65.35,18.13,117.9,15.7,23.1,27.3,50.4,
082798,Terrassa,18.25,64.90,16.85,98.6,16.6,25.9,25.5,51.4,
083015,Viladecans,18.08,65.34,16.58,98.3,12.6,25.4,24.9,50.3,
083073,Vilanova i la Geltrú,15.75,64.86,19.39,133.0,14.9,22.1,29.4,51.4,
,Catalunya,16.35,64.69,18.96,124.2,17.1,23.2,28.8,52.0,

