Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,16.75,67.57,15.69,99.0,12.0,23.0,23.0,46.0
080193,Barcelona,13.10,66.07,20.83,169.0,16.0,18.0,31.0,50.0
080569,Castelldefels,18.13,70.02,11.85,69.0,12.0,24.0,17.0,41.0
082665,Cerdanyola del Vallès,16.58,69.30,14.12,90.0,11.0,22.0,20.0,42.0
080734,Cornellà de Llobregat,16.14,65.83,18.03,118.0,11.0,23.0,27.0,50.0
080771,Esplugues de Llobregat,14.45,66.98,18.57,138.0,11.0,20.0,27.0,47.0
170792,Girona,18.14,68.16,13.70,80.0,16.0,25.0,20.0,45.0
080961,Granollers,16.76,68.16,15.07,95.0,14.0,23.0,22.0,45.0
081017,"Hospitalet de Llobregat, l'",14.56,66.42,19.03,138.0,11.0,20.0,28.0,49.0
251207,Lleida,16.74,67.70,15.56,98.0,15.0,23.0,23.0,46.0
081136,Manresa,16.54,64.62,18.84,120.0,16.0,24.0,29.0,53.0
081213,Mataró,17.14,67.63,15.23,94.0,13.0,24.0,22.0,46.0
081249,Mollet del Vallès,18.35,68.47,13.18,76.0,11.0,25.0,19.0,44.0
081691,"Prat de Llobregat, el",16.11,68.21,15.68,103.0,11.0,22.0,23.0,45.0
431233,Reus,18.85,66.49,14.66,82.0,14.0,26.0,22.0,48.0
081846,Rubí,18.29,68.99,12.72,73.0,12.0,25.0,18.0,43.0
081878,Sabadell,16.93,65.99,17.08,107.0,14.0,24.0,26.0,49.0
082009,Sant Boi de Llobregat,16.50,67.63,15.87,102.0,11.0,23.0,23.0,46.0
082055,Sant Cugat del Vallès,22.20,67.06,10.74,51.0,14.0,31.0,16.0,47.0
082457,Santa Coloma de Gramenet,16.21,66.69,17.10,111.0,10.0,23.0,25.0,48.0
431482,Tarragona,17.45,67.25,15.30,93.0,14.0,24.0,22.0,47.0
082798,Terrassa,18.30,66.75,14.95,86.0,14.0,26.0,22.0,48.0
083015,Viladecans,18.73,68.10,13.16,74.0,9.0,26.0,19.0,45.0
083073,Vilanova i la Geltrú,16.63,67.28,16.09,102.0,12.0,23.0,24.0,47.0
,Catalunya,16.47,66.75,16.78,107.6,14.1,23.1,24.8,47.9

