Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,17.04,63.95,19.01,118.9,14.1,24.6,29.2,53.8,
080193,Barcelona,13.77,64.90,21.33,164.9,19.5,19.7,32.4,52.1,
080569,Castelldefels,17.86,67.13,15.01,89.9,13.2,24.4,22.0,46.4,
082665,Cerdanyola del Vallès,15.24,65.50,19.25,136.8,11.8,21.1,28.9,50.0,
080734,Cornellà de Llobregat,16.04,63.80,20.16,134.8,14.9,23.1,31.1,54.1,
080771,Esplugues de Llobregat,14.99,61.97,23.04,165.1,13.8,22.1,36.6,58.7,
170792,Girona,18.35,65.73,15.93,92.6,17.6,25.7,23.8,49.5,
080961,Granollers,16.91,65.22,17.86,112.4,16.0,24.0,27.0,50.9,
081017,"Hospitalet de Llobregat, l'",15.57,64.19,20.25,138.5,15.0,22.4,31.1,53.5,
251207,Lleida,16.90,65.04,18.06,114.0,18.0,24.0,27.3,51.3,
081136,Manresa,17.50,62.45,20.05,122.0,19.7,25.9,31.6,57.5,
081213,Mataró,17.76,64.54,17.70,105.7,15.8,25.6,27.0,52.6,
081249,Mollet del Vallès,17.33,65.81,16.87,104.7,13.4,24.0,25.2,49.2,
081691,"Prat de Llobregat, el",16.58,64.29,19.12,122.8,12.7,23.8,29.3,53.1,
431233,Reus,19.15,63.22,17.63,98.2,15.8,27.9,27.4,55.2,
081846,Rubí,18.30,66.08,15.62,91.0,13.5,25.5,23.2,48.7,
081878,Sabadell,17.35,64.00,18.65,114.5,16.8,25.0,28.7,53.7,
082009,Sant Boi de Llobregat,16.64,64.27,19.09,122.3,13.4,23.9,29.2,53.1,
082055,Sant Cugat del Vallès,20.65,65.29,14.06,73.0,15.8,28.9,21.1,50.0,
082457,Santa Coloma de Gramenet,17.05,62.94,20.01,124.7,12.3,25.1,31.3,56.4,
431482,Tarragona,16.80,65.19,18.01,114.5,15.8,23.7,27.2,50.9,
082798,Terrassa,18.51,64.77,16.72,96.1,16.5,26.4,25.4,51.8,
083015,Viladecans,18.51,65.13,16.36,94.5,12.4,26.1,24.7,50.8,
083073,Vilanova i la Geltrú,16.06,64.88,19.05,127.7,15.0,22.6,28.9,51.5,
,Catalunya,16.58,64.53,18.89,121.6,16.9,23.7,28.8,52.5,

