Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,17.19,66.21,16.60,102.0,13.0,24.0,25.0,49.0,
080193,Barcelona,13.44,65.29,21.28,168.0,17.0,19.0,32.0,51.0,
080569,Castelldefels,18.50,68.67,12.83,73.0,12.0,25.0,18.0,44.0,
082665,Cerdanyola del Vallès,16.61,67.98,15.41,98.0,12.0,23.0,22.0,45.0,
080734,Cornellà de Llobregat,16.51,64.39,19.10,123.0,11.0,24.0,29.0,53.0,
080771,Esplugues de Llobregat,14.54,65.32,20.14,147.0,11.0,21.0,30.0,51.0,
170792,Girona,18.41,67.31,14.28,82.0,17.0,25.0,21.0,46.0,
080961,Granollers,17.01,67.02,15.97,99.0,15.0,24.0,24.0,47.0,
081017,"Hospitalet de Llobregat, l'",14.98,65.07,19.95,141.0,12.0,21.0,30.0,52.0,
251207,Lleida,16.93,66.92,16.15,101.0,16.0,24.0,24.0,47.0,
081136,Manresa,17.00,63.65,19.34,121.0,18.0,25.0,30.0,55.0,
081213,Mataró,17.73,66.31,15.96,95.0,14.0,25.0,24.0,49.0,
081249,Mollet del Vallès,18.75,67.18,14.08,79.0,12.0,26.0,21.0,47.0,
081691,"Prat de Llobregat, el",16.64,66.68,16.68,106.0,11.0,23.0,25.0,48.0,
431233,Reus,19.17,65.60,15.23,84.0,15.0,27.0,23.0,50.0,
081846,Rubí,18.72,67.85,13.43,76.0,12.0,26.0,20.0,45.0,
081878,Sabadell,17.31,65.11,17.58,107.0,15.0,25.0,27.0,51.0,
082009,Sant Boi de Llobregat,16.79,66.43,16.78,106.0,12.0,24.0,25.0,48.0,
082055,Sant Cugat del Vallès,21.97,66.42,11.62,56.0,15.0,31.0,17.0,48.0,
082457,Santa Coloma de Gramenet,16.64,64.92,18.45,117.0,10.0,24.0,28.0,52.0,
431482,Tarragona,17.35,66.33,16.33,99.0,14.0,24.0,24.0,49.0,
082798,Terrassa,18.70,65.84,15.45,87.0,15.0,27.0,23.0,50.0,
083015,Viladecans,19.24,66.91,13.85,76.0,10.0,27.0,20.0,47.0,
083073,Vilanova i la Geltrú,17.02,66.06,16.92,105.0,13.0,24.0,25.0,49.0,
,Catalunya,16.80,65.76,17.44,109.8,15.0,23.8,26.2,50.0,

