Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,17.24,64.17,18.59,114.6,14.0,24.9,28.5,53.4
080193,Barcelona,13.84,64.58,21.58,165.3,18.8,20.0,33.0,53.0
080569,Castelldefels,18.32,67.30,14.37,83.3,12.8,25.3,21.0,46.3
082665,Cerdanyola del Vallès,15.94,66.02,18.05,121.4,11.8,22.2,26.9,49.1
080734,Cornellà de Llobregat,16.40,63.35,20.24,131.7,13.6,23.9,31.4,55.3
080771,Esplugues de Llobregat,15.07,62.31,22.62,160.6,13.0,22.2,35.7,58.0
170792,Girona,18.64,65.83,15.53,88.3,17.2,26.3,23.2,49.5
080961,Granollers,17.06,65.65,17.29,107.5,15.6,24.1,25.9,50.1
081017,"Hospitalet de Llobregat, l'",15.52,63.87,20.61,140.5,13.8,22.7,31.8,54.5
251207,Lleida,16.99,65.43,17.59,110.3,17.7,24.0,26.5,50.5
081136,Manresa,17.30,62.62,20.08,122.4,19.1,25.8,31.6,57.4
081213,Mataró,17.95,64.75,17.30,101.9,15.5,25.8,26.3,52.1
081249,Mollet del Vallès,18.15,65.86,15.99,93.9,12.8,25.4,23.9,49.3
081691,"Prat de Llobregat, el",16.87,64.71,18.42,115.8,12.2,24.2,28.0,52.3
431233,Reus,19.23,63.75,17.02,93.4,15.9,28.1,26.3,54.4
081846,Rubí,18.56,66.29,15.15,86.4,13.0,26.0,22.5,48.6
081878,Sabadell,17.53,63.96,18.51,112.0,16.0,25.4,28.5,53.9
082009,Sant Boi de Llobregat,16.99,64.44,18.57,116.3,12.6,24.4,28.4,52.7
082055,Sant Cugat del Vallès,21.32,65.34,13.34,67.0,15.6,29.8,20.0,49.8
082457,Santa Coloma de Gramenet,17.04,62.81,20.15,125.0,11.3,25.3,31.6,56.9
431482,Tarragona,17.11,65.15,17.74,109.9,15.6,24.4,26.8,51.2
082798,Terrassa,18.81,64.68,16.51,92.7,15.9,27.1,25.1,52.2
083015,Viladecans,19.15,65.19,15.66,86.8,11.0,27.2,23.6,50.8
083073,Vilanova i la Geltrú,16.46,65.07,18.46,119.3,14.9,23.4,27.9,51.4
,Catalunya,16.83,64.54,18.63,117.5,16.4,24.2,28.4,52.6

