Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,15.09,70.19,14.72,104.0,9.0,20.0,21.0,41.0
080193,Barcelona,12.50,66.77,20.73,176.0,13.0,17.0,31.0,48.0
080569,Castelldefels,17.71,71.89,10.40,62.0,9.0,23.0,14.0,37.0
082665,Cerdanyola del Vallès,16.15,71.86,11.99,79.0,10.0,21.0,16.0,37.0
080734,Cornellà de Llobregat,14.73,68.03,17.24,124.0,9.0,20.0,25.0,45.0
080771,Esplugues de Llobregat,13.91,70.28,15.82,122.0,9.0,18.0,22.0,40.0
170792,Girona,17.42,68.87,13.71,83.0,14.0,24.0,20.0,43.0
080961,Granollers,16.28,69.45,14.27,93.0,11.0,22.0,20.0,42.0
081017,"Hospitalet de Llobregat, l'",13.03,68.84,18.13,148.0,9.0,18.0,26.0,44.0
251207,Lleida,16.11,68.01,15.88,105.0,12.0,22.0,23.0,45.0
081136,Manresa,14.84,65.52,19.64,141.0,12.0,21.0,30.0,51.0
081213,Mataró,15.79,69.58,14.64,99.0,11.0,21.0,21.0,42.0
081249,Mollet del Vallès,17.09,71.18,11.73,72.0,10.0,23.0,16.0,39.0
081691,"Prat de Llobregat, el",15.20,70.70,14.10,99.0,9.0,20.0,20.0,40.0
431233,Reus,17.28,67.88,14.85,92.0,12.0,24.0,22.0,45.0
081846,Rubí,16.93,71.10,11.98,75.0,10.0,22.0,17.0,39.0
081878,Sabadell,15.70,67.56,16.74,113.0,11.0,22.0,24.0,46.0
082009,Sant Boi de Llobregat,15.55,70.04,14.41,99.0,9.0,21.0,20.0,41.0
082055,Sant Cugat del Vallès,22.53,67.43,10.05,47.0,13.0,31.0,15.0,46.0
082457,Santa Coloma de Gramenet,14.09,70.08,15.83,120.0,9.0,19.0,22.0,41.0
431482,Tarragona,16.57,68.42,15.01,96.0,11.0,23.0,22.0,44.0
082798,Terrassa,16.71,68.17,15.12,96.0,11.0,23.0,22.0,45.0
083015,Viladecans,17.35,71.06,11.59,71.0,8.0,23.0,16.0,39.0
083073,Vilanova i la Geltrú,16.10,67.99,15.91,105.0,10.0,22.0,23.0,45.0
,Catalunya,15.34,68.06,16.60,114.9,11.5,20.9,24.1,45.0

