Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,16.98,67.02,16.00,99.0,12.0,24.0,24.0,47.0,
080193,Barcelona,13.25,65.75,21.00,168.0,17.0,19.0,32.0,50.0,
080569,Castelldefels,18.30,69.37,12.33,71.0,12.0,25.0,18.0,42.0,
082665,Cerdanyola del Vallès,16.56,68.78,14.66,94.0,11.0,22.0,21.0,43.0,
080734,Cornellà de Llobregat,16.43,65.07,18.50,119.0,11.0,24.0,28.0,52.0,
080771,Esplugues de Llobregat,14.46,66.21,19.32,142.0,11.0,20.0,29.0,49.0,
170792,Girona,18.25,67.82,13.93,81.0,17.0,25.0,20.0,45.0,
080961,Granollers,16.95,67.59,15.46,97.0,15.0,23.0,23.0,46.0,
081017,"Hospitalet de Llobregat, l'",14.78,65.76,19.46,139.0,12.0,21.0,29.0,50.0,
251207,Lleida,16.84,67.30,15.87,100.0,15.0,23.0,23.0,47.0,
081136,Manresa,16.77,64.22,19.00,119.0,17.0,25.0,29.0,54.0,
081213,Mataró,17.51,66.98,15.52,93.0,14.0,24.0,23.0,47.0,
081249,Mollet del Vallès,18.59,67.86,13.56,77.0,11.0,26.0,20.0,45.0,
081691,"Prat de Llobregat, el",16.49,67.31,16.20,104.0,11.0,23.0,24.0,47.0,
431233,Reus,19.01,66.11,14.88,83.0,15.0,27.0,22.0,49.0,
081846,Rubí,18.52,68.43,13.05,74.0,13.0,25.0,19.0,44.0,
081878,Sabadell,17.14,65.54,17.32,107.0,14.0,24.0,26.0,50.0,
082009,Sant Boi de Llobregat,16.59,67.10,16.31,104.0,12.0,23.0,24.0,47.0,
082055,Sant Cugat del Vallès,22.24,66.63,11.13,53.0,14.0,31.0,16.0,47.0,
082457,Santa Coloma de Gramenet,16.44,65.87,17.70,114.0,10.0,23.0,27.0,50.0,
431482,Tarragona,17.36,66.88,15.77,96.0,14.0,24.0,23.0,47.0,
082798,Terrassa,18.52,66.36,15.12,86.0,14.0,26.0,22.0,49.0,
083015,Viladecans,19.10,67.43,13.47,74.0,10.0,27.0,20.0,46.0,
083073,Vilanova i la Geltrú,16.91,66.51,16.59,104.0,13.0,24.0,25.0,48.0,
,Catalunya,16.66,66.28,17.06,108.2,14.7,23.5,25.4,48.9,

