Codi,Literal,% 0 a 15 anys,% 16 a 64 anys,% 65 anys i més,Índex d'envelliment,Índex de sobreenvelliment,Índex de dependència juvenil,Índex de dependència de la gent gran,Índex de dependència global
080155,Badalona,15.07,70.73,14.21,102.0,9.0,19.0,20.0,39.0
080193,Barcelona,12.42,65.61,21.98,190.0,11.0,17.0,33.0,50.0
080569,Castelldefels,..,..,..,..,..,..,..,..
082665,Cerdanyola del Vallès,16.30,73.24,10.46,70.0,9.0,20.0,14.0,34.0
080734,Cornellà de Llobregat,13.60,70.54,15.85,125.0,8.0,18.0,22.0,40.0
080771,Esplugues de Llobregat,13.56,72.53,13.91,112.0,9.0,17.0,19.0,36.0
170792,Girona,17.28,67.42,15.31,95.0,11.0,24.0,22.0,46.0
080961,Granollers,16.56,69.21,14.24,92.0,10.0,22.0,20.0,42.0
081017,"Hospitalet de Llobregat, l'",12.23,70.18,17.59,156.0,8.0,16.0,25.0,41.0
251207,Lleida,15.66,67.26,17.08,117.0,9.0,21.0,25.0,46.0
081136,Manresa,13.47,64.73,21.80,174.0,11.0,19.0,33.0,52.0
081213,Mataró,16.06,68.98,14.96,101.0,11.0,21.0,21.0,43.0
081249,Mollet del Vallès,..,..,..,..,..,..,..,..
081691,"Prat de Llobregat, el",15.64,71.98,12.38,86.0,9.0,20.0,17.0,37.0
431233,Reus,16.56,67.57,15.87,103.0,10.0,22.0,23.0,46.0
081846,Rubí,16.91,71.23,11.86,75.0,9.0,22.0,16.0,38.0
081878,Sabadell,15.30,67.68,17.02,120.0,10.0,21.0,25.0,45.0
082009,Sant Boi de Llobregat,15.67,71.43,12.89,89.0,9.0,20.0,18.0,38.0
082055,Sant Cugat del Vallès,20.41,69.32,10.28,53.0,12.0,27.0,15.0,42.0
082457,Santa Coloma de Gramenet,13.28,72.47,14.25,116.0,9.0,17.0,19.0,36.0
431482,Tarragona,15.84,68.72,15.44,105.0,9.0,21.0,22.0,43.0
082798,Terrassa,15.93,68.05,16.02,108.0,10.0,22.0,23.0,45.0
083015,Viladecans,17.13,72.87,10.00,63.0,8.0,22.0,14.0,35.0
083073,Vilanova i la Geltrú,15.43,67.98,16.59,116.0,9.0,21.0,24.0,45.0
,Catalunya,14.83,67.80,17.37,125.8,10.3,20.1,25.2,45.3

